Country,Doses administered per 100 people,Total doses administered,% of population vaccinated,% of population fully vaccinated
Afghanistan,6.2,2369625,2.2,1.1
Albania,64,1816580,34,30
Algeria,33,14082920,14,9.4
Angola,14,4448653,9.9,4.1
Argentina,124,55605668,69,55
Armenia,17,514241,12,5.8
Aruba,149,158065,77,71
Australia,128,32494119,72,56
Austria,126,11207136,65,62
Azerbaijan,91,9138351,49,42
Bahamas,61,238432,34,28
Bahrain,165,2700105,71,69
Bangladesh,34,56133021,23,11
Barbados,90,258231,50,40
Belarus,45,4218130,26,18
Belgium,146,16741664,75,74
Belize,88,344463,51,37
Benin,2.1,252698,1.8,1.6
Bhutan,143,1087753,77,66
Bolivia,60,6931689,38,30
Bosnia and Herzegovina,38,1242203,22,15
Botswana,34,783999,23,11
Brazil,122,256425302,74,50
Brunei,130,563695,78,52
Bulgaria,38,2626708,20,20
Burkina Faso,1.5,297231,1.3,1
Cambodia,159,26235936,82,75
Cameroon,1.9,479521,1.5,0.5
Canada,153,57562705,79,74
Cape Verde,84,460484,53,30
Central African Republic,5.4,255345,5.2,0.2
Chad,1.1,183351,0.9,0.2
Chile,180,34128477,85,76
Colombia,87,43881718,56,38
Comoros,42,360675,23,19
Congo,0.2,140254,0.1,0
Costa Rica,117,5921089,70,47
Croatia,86,3516613,46,43
Cuba,211,23920914,85,59
Curaçao,121,189909,63,58
Cyprus,100,1193859,50,47
Czech Republic,112,11907065,57,56
Denmark,151,8813691,77,76
Djibouti,9.5,92097,6.8,2.7
Dominican Rep.,116,12434612,58,47
Ecuador,122,21254562,67,58
Egypt,20,20154366,13,6.6
El Salvador,125,8096778,66,56
Equatorial Guinea,31,414506,17,13
Estonia,105,1398698,58,55
Eswatini,23,266056,20,20
Ethiopia,3.5,3955493,2.7,0.8
Fiji,123,1090963,67,56
Finland,143,7884935,76,67
France,145,96920975,76,68
French Polynesia,107,298182,55,52
Gabon,9.5,206373,5.5,4
Gambia,8.9,208379,7.9,7.3
Georgia,51,1899938,27,24
Germany,132,109892041,69,66
Ghana,7.2,2189552,4.5,2.7
Greece,116,12393460,61,59
Grenada,55,62095,32,24
Guatemala,48,8010612,30,18
